"","Name","Rating","genre"
"54","Aqua Teen Hunger Force","7.7","
Animation, Comedy            "
"55","The Simpsons","8.7","
Animation, Comedy            "
"56","King of the Hill","7.5","
Animation, Comedy, Drama            "
"57","Animaniacs","7.9","
Animation, Short, Adventure            "
"58","Pinky and the Brain","7.8","
Animation, Adventure, Comedy            "
"59","The Grim Adventures of Billy & Mandy","7.7","
Animation, Adventure, Comedy            "
"60","Jackie Chan Adventures","7.4","
Animation, Action, Adventure            "
"61","Wolverine and the X-Men","8","
Animation, Action, Adventure            "
"62","Superman: The Animated Series","8.1","
Animation, Action, Adventure            "
"63","Johnny Bravo","7.2","
Animation, Adventure, Comedy            "
"64","Dexter's Laboratory","7.9","
Animation, Short, Adventure            "
"65","Courage the Cowardly Dog","8.3","
Animation, Adventure, Comedy            "
"66","The Powerpuff Girls","7.3","
Animation, Action, Adventure            "
"67","Ed, Edd n Eddy","7.5","
Animation, Comedy, Family            "
"68","X-Men: Evolution","7.8","
Animation, Action, Adventure            "
"69","DuckTales","8.3","
Animation, Action, Adventure            "
"70","Young Justice","8.6","
Animation, Action, Adventure            "
"71","Xiaolin Showdown","7.4","
Animation, Action, Adventure            "
"72","The Bugs Bunny/Looney Tunes Comedy Hour","8.4","
Animation, Family, Comedy            "
"73","Tiny Toon Adventures","7.5","
Animation, Adventure, Comedy            "
"74","Fillmore!","7.6","
Action, Animation, Comedy            "
"75","American Dragon: Jake Long","6.6","
Animation, Action, Adventure            "
"76","Motorcity","7.2","
Animation, Action, Adventure            "
"77","Over the Garden Wall","8.8","
Animation, Short, Adventure            "
"78","Extreme Ghostbusters","6.9","
Animation, Action, Adventure            "
"79","My Life as a Teenage Robot","7","
Animation, Action, Adventure            "
"80","The Legend of Calamity Jane","7.2","
Animation, Western, Action            "
"81","My Adventures with Superman","7.7","
Animation, Action, Adventure            "
"82","Unicorn: Warriors Eternal","7.3","
Animation, Action, Adventure            "
"83","Clone High","8.1","
Animation, Comedy, Sci-Fi            "
"84","Mission Hill","7.8","
Animation, Comedy, Drama            "
"85","Clerks","7.4","
Animation, Comedy            "
"86","Undergrads","7.8","
Animation, Comedy            "
"87","Downtown","8.3","
Animation, Comedy            "
"88","The Last Kids on Earth","7.2","
Animation, Adventure, Comedy            "
"89","Hit-Monkey","7.8","
Animation, Action, Adventure            "
"90","Legend Quest","7.3","
Animation, Adventure, Comedy            "
"91","Godzilla: The Series","6.8","
Animation, Action, Crime            "
"92","The Hollow","7.2","
Animation, Adventure, Drama            "
"93","Freakazoid!","7.5","
Animation, Short, Action            "
"94","Histeria!","7.7","
Animation, Short, Adventure            "
"95","Duck Dodgers","7.7","
Animation, Short, Action            "
"96","Viking Skool","6.4","
Animation, Action, Adventure            "
"97","The Looney Tunes Show","7.7","
Animation, Adventure, Comedy            "
"98","The Fairly OddParents","7.2","
Animation, Adventure, Comedy            "
"99","The Adventures of Jimmy Neutron, Boy Genius","6.7","
Animation, Adventure, Comedy            "
"100","Daria","8.1","
Animation, Comedy, Drama            "
